###    1  2  3  4  5  6  7  8  9 10   11 12 13 14 15 16 17 18 19 20   21 22 23 24 25 26 27 28 29 30   31 32 33 34 35 36 37 38 39 40   
###   41 42 43 44 45 46 47 48 49 50   51 52 53 54 55 56 57 58 59 60   61 62 63 64 65 66 67 68 69 70   71 72 73 74 75 76 77 78 79 80   
  1a   0  0  9  9  8 10  9 10  9  8    9 11  7  7  6  7  7 12  9  6    9  7  8  0  0  0  0  0  0  0    0 10  8  7  6  0  0  0  0  0   
  1b   0  0  0  8  8  8  8  0  0  0    0  0  0  0  0  7  7  6  7  6    8  9  9  6  6  9  8  7  6  7    7  7  7  9  8  8  0  0  0  0   
  2a   0  0  9  8  8  7  6  9  7  7    7  7  7  9  8  8  7  7  7  8    7  6  7  7  8  6  7  8  7  6    6  7  6  9  9  5  8  7  8  9   
  2b   6  7  6  7 10  7  9 12  7  9    7  7 11  8  7  7  7 10 10  8    6  9  8  8  7  7  9  6  9  6   10  5  7  6  7  8  0  0  0  0   
  3a   0  0 10  9  7  8  7  6  7  8    7  8  7  8 10  7  9  8  7  9    8  7  8  9  9  8  9  6  9  7   10  8  7  7  9  9  9  6  6  7   
  3b   7  8  8  9  8 10  8  9  8 10    7  8  8 10 10  8  7 10  6  8    7  8  8  8  7  7  9  7  6  8    7  8  8  7  8  8  0  0  0  0   
  4a   0  0  9  7  9  9  7  6  9  6    8  9  8  8  6  7  7  9  7  8    7  8  9  7  7  9 10  6  8  8    7  7  7  9  9  8  9  9  7  7   
  4b   7  8 10  9 10  8  7  8  7  7    8  9  8  7  7  7  7 10  9  7    9  8  7  8  7  6  7  7 10  7    8  7  6  7  8  8  0  0  0  0   
  5a   0  0  6  8  7  9 10  5  7  6    8  7  8  8 10  6  6  7  7  9    7  7  8  7  6  6  9  7  8  7   10  9  7  8  9  9  7 10  8  8   
  5b   7  7  8  7  9  8  6  9  6  8    7  8  8  9  7  6 10  8  7  7    7  7 10  9  8  8  8  9  6  0    8  7  6  8  9  7  0  0  0  0   
  6a   0  0  9  7  7  7  8  9  9  7    7  7 10  8  8  9  6  8  7  4    6  9 12  8  8 10 10  7  8  9    9  8  8  7  9  8 10  7  8  7   
  6b   7 10  7 10  8  7 10 10  9  8    9  7  7  9  8  8  9  8  6  8    6 10  8  6  8  8  6  9  8  8    9  9  6  9  7  9  0  0  0  0   
  7a   0  0  6  6  7  7  9  6  8 10    7  6  9  8  8  7  8 10  6  9    7  9  9  8  9  8  8  5  8  7    8  9  7  7  7  7  8  7  6  6   
  7b   7  8  7  7 10  6  5  7  8  9   10  9  5  8  7  8  6  9  7  7    8  8  7  8  8  7  7 10  9  7    8  7  7  9  6  9  0  0  0  0   
  8a   0  0 10 10  7  7  7  8  8  7    6  8  8  7  7  7  9  9  8 10    6  8  9  9  9  5  7  9  7  6    8  7  7  7  9  9  7  8  6  7   
  8b   8  8  8 10 10  7  8  8  9  8    8  6  6  7  9  7  8  8  8  9    9  7  7  6  7  7  9  6  8  7    7 10  8 11  8  7  0  0  0  0   
  9a   0  0  9  9  7  6  7  7  6  8    7  8  7  8  8  9  8  9  7  7    9  8  8  7  9  7  7  8  9  7    8  8  7  7  7  8  7  9  8  8   
  9b   8  8  9  8  8  9  6  9 10  8    7  9  9  9 10  8  9  7  8  7    6  6  6  8  9  6  8  7  9  7    8  9  7  8  9 10  0  0  0  0   
 10a   0  0  8  8  8  8  6  8  8  9    9  6  8  7  8  6  8  8  6 10    6  7 11  9  9  9  8  9  7  6    8  7 10  8  6  8  7  9  7  9   
 10b   6  7  8  8  9  8  7  6  9  8    8 11  6  8  6  8  7  7  7  7    7  9  9  7  6  8  6  9 10  7    6  8  8  8  9  8  0  0  0  0   
 11a   0  0  9  8  7  6  8  5  9  7   11  9 10  8  9  8  6  9 10  8    8  8 11  8  7  9  6  8 10  9    7 10  9  5  9  7  7  6 11  7   
 11b   7  9  8  6  9  6  9  8  6  8    8  8  9  8  6  7  9 11  9  9    7  8 10 11  8  9  8  7  8  7    0  7  7  7  7  8  0  0  0  0   
 12a   0  0 10  7  8  8  9  8  9  6    6  9  9  8  8 10  8  8  7  9    8  7  5  8  7  8  7  8  6  7    8  7  8  6  8  7  8  7  8 11   
 12b  10 10  6 10  7  8  8  6  6  9    8  7  9 10  9  5 11  8  8  9    9  6  7  7  9  7  8  7 10  8    6  7 10  7  9  7  0  0  0  0   
 13a   0  0  6  9  7  7  9  7  7  9    8  8 10  6 10  6  7  9  6  8    8  6 11  5 10  5  8  9  9  8    9  7 10 10  9  7  9  9  7  9   
 13b   6  8  9 10  9  7  8  8  9 10   10  7  8  7  8  7  8  9  9 10    9  7  9  9 10  8  7  6  8  8    8  8  6  9 11  7  0  0  0  0   
 14a   0  0  8 10 10  9  8  7  7  7    9  8  8  8  8  7  8  6  9  8    7  8  6  9  6  8 11 10  8  9    7 10  9  8 10  7  8  7  7  7   
