# Date and time: 11.06.2012 14:37:54
# Detector/module name: Planar_stave0_IV
# Operator: Didier
# Wait time(s): 1
# Estimated temp: 0
# Module   Channel   Voltage(V)   Current(nA)
0.000	1.000	0.119	174.785
0.000	2.000	0.070	0.000
0.000	3.000	0.147	1775.977
0.000	4.000	0.110	764.251
0.000	5.000	0.062	1253.974
0.000	6.000	0.077	1568.149
0.000	1.000	1.059	163.633
0.000	2.000	1.046	0.000
0.000	3.000	0.971	1775.958
0.000	4.000	1.030	764.205
0.000	5.000	1.061	1253.944
0.000	6.000	0.926	1568.108
0.000	1.000	2.057	165.373
0.000	2.000	2.037	20.475
0.000	3.000	1.963	1775.921
0.000	4.000	2.029	763.926
0.000	5.000	2.065	1253.702
0.000	6.000	1.926	1567.656
0.000	1.000	3.058	174.368
0.000	2.000	3.035	19.491
0.000	3.000	2.965	1775.880
0.000	4.000	3.030	763.870
0.000	5.000	3.068	1253.675
0.000	6.000	2.929	1567.577
0.000	1.000	4.055	174.227
0.000	2.000	4.042	22.156
0.000	3.000	3.956	1775.436
0.000	4.000	4.020	763.844
0.000	5.000	4.059	1253.644
0.000	6.000	3.929	1567.509
0.000	1.000	5.040	174.303
0.000	2.000	5.041	28.879
0.000	3.000	4.956	1775.294
0.000	4.000	5.019	763.420
0.000	5.000	5.060	1253.296
0.000	6.000	4.925	1566.855
0.000	1.000	6.040	174.264
0.000	2.000	6.040	80.728
0.000	3.000	5.953	1775.260
0.000	4.000	6.019	763.370
0.000	5.000	6.062	1253.283
0.000	6.000	5.925	1566.815
0.000	1.000	7.041	174.233
0.000	2.000	7.043	93.888
0.000	3.000	6.954	1775.240
0.000	4.000	7.016	763.341
0.000	5.000	7.063	1253.254
0.000	6.000	6.925	1566.768
0.000	1.000	8.041	174.197
0.000	2.000	8.040	103.242
0.000	3.000	7.952	1774.869
0.000	4.000	8.020	763.259
0.000	5.000	8.062	1252.889
0.000	6.000	7.927	1566.637
0.000	1.000	9.042	173.518
0.000	2.000	9.042	114.499
0.000	3.000	8.957	1774.814
0.000	4.000	9.023	763.189
0.000	5.000	9.065	1252.753
0.000	6.000	8.927	1565.787
0.000	1.000	10.041	173.376
0.000	2.000	10.038	123.853
0.000	3.000	9.956	1774.585
0.000	4.000	10.021	32.782
0.000	5.000	10.064	1252.617
0.000	6.000	9.928	1565.520
0.000	1.000	11.042	173.234
0.000	2.000	11.036	137.014
0.000	3.000	10.959	1774.442
0.000	4.000	11.022	35.432
0.000	5.000	11.063	1252.482
0.000	6.000	10.925	1565.436
0.000	1.000	12.043	173.092
0.000	2.000	12.036	142.561
0.000	3.000	11.961	1774.300
0.000	4.000	12.026	762.235
0.000	5.000	12.062	1252.442
0.000	6.000	11.926	1564.987
0.000	1.000	13.044	175.604
0.000	2.000	13.034	151.915
0.000	3.000	12.967	1774.157
0.000	4.000	13.027	762.220
0.000	5.000	13.062	1252.211
0.000	6.000	12.929	1564.719
0.000	1.000	14.047	175.277
0.000	2.000	14.032	167.551
0.000	3.000	13.971	1774.122
0.000	4.000	14.029	762.175
0.000	5.000	14.064	1252.186
0.000	6.000	13.929	1564.667
0.000	1.000	15.053	175.044
0.000	2.000	15.029	168.035
0.000	3.000	14.977	1773.872
0.000	4.000	15.034	761.726
0.000	5.000	15.062	1252.163
0.000	6.000	14.930	1564.185
0.000	1.000	16.055	172.522
0.000	2.000	16.026	178.074
0.000	3.000	15.981	1773.729
0.000	4.000	16.044	761.555
0.000	5.000	16.059	1251.804
0.000	6.000	15.930	1563.917
0.000	1.000	17.060	172.380
0.000	2.000	17.026	185.525
0.000	3.000	16.986	1773.587
0.000	4.000	17.046	761.386
0.000	5.000	17.059	1251.741
0.000	6.000	16.931	1563.651
0.000	1.000	18.061	172.238
0.000	2.000	18.014	187.112
0.000	3.000	17.988	1773.445
0.000	4.000	18.054	761.215
0.000	5.000	18.054	1251.711
0.000	6.000	17.917	1563.388
0.000	1.000	19.064	172.095
0.000	2.000	19.012	188.464
0.000	3.000	18.992	1773.302
0.000	4.000	19.058	761.045
0.000	5.000	19.050	1251.398
0.000	6.000	18.916	1563.121
0.000	1.000	20.070	171.952
0.000	2.000	20.008	204.073
0.000	3.000	19.981	1773.162
0.000	4.000	20.051	760.878
0.000	5.000	20.040	1251.264
0.000	6.000	19.916	1562.854
0.000	1.000	21.059	179.065
0.000	2.000	21.007	213.657
0.000	3.000	20.980	1773.107
0.000	4.000	21.049	760.840
0.000	5.000	21.038	1251.226
0.000	6.000	20.916	1562.787
0.000	1.000	22.062	179.363
0.000	2.000	22.005	218.975
