###    1  2  3  4  5  6  7  8  9 10   11 12 13 14 15 16 17 18 19 20   21 22 23 24 25 26 27 28 29 30   31 32 33 34 35 36 37 38 39 40   
###   41 42 43 44 45 46 47 48 49 50   51 52 53 54 55 56 57 58 59 60   61 62 63 64 65 66 67 68 69 70   71 72 73 74 75 76 77 78 79 80   
  1a  16 16 15 26 19 25 21 17 18 20   18 14 20 20 18 19 20 21 17 18   22 20  9 16 16 16 16 16 16 16   16 19 18 15 26 16 16 16 16 16   
  1b  16 16 16 21 24 22 23 16 16 16   16 16 16 16 16 25 28 23 25 24   25 22 27 23 27 20 27 31 24 24   31 20 31 31 26 28 16 16 16 16   
  2a  16 16 24 21 21 20 16 24 18 20   21 19 20 18 17 14 15 15 21 16   19 15 16 18 20 22 20 20 21 19   20 17 18 22 16 20 18 20 12 21   
  2b  20 25 24 23 24 20 21 16 23 25   23 22 18 24 22 23 27 16 25 27   23 24 24 21 21 24 27 23 24 21   26 23 23 27 22 25 16 16 16 16   
  3a  16 16 25 19 22 17 18 18 24 18   19 20 22 21 21 14 17 16 17 22   17 18 18 16 16 18 16 24 19 17   23 23 22 22 29 21 20 26 20 21   
  3b  27 24 24 26 26 28 19 22 21 28   21 18 30 21 25 24 26 16 29 18   24 21 21 22 23 21 21 19 26 26   24 25 25 23 23 24 16 16 16 16   
  4a  16 16 18 17 20 22 20 18 21 20   31 20 20 13 13 21 23 16 19 16   15 15 16 21 19 11 20 20 21 22   21 14 21 23 22 21 21 18 19 19   
  4b  22 18 28 23 26 28 24 23 23 24   20 22 26 21 28 29 29 17 25 19   25 22 30 24 23 25 21 20 26 24   30 23 26 17 29 22 16 16 16 16   
  5a  16 16 23 18 20 21 21 21 22 21   19 21 23 15 23 22 16 18 23 18   18 13 17 24 18 16 24 21 17 20   20 21 23 23 15 20 17 18 26 19   
  5b  21 21 24 26 24 24 24 20 25 26   24 25 26 24 26 16 20 25 25 29   24 22 23 25 28 31 26 22 28 27   25 24 28 24 20 24 16 16 16 16   
  6a  16 16 18 25 19 18 26 19 20 19   23 22 19 19 16 20 20 21 23 21   10 24 21 19 14 22 27 21 26 20   17 23 18 21 17 19 19 25 29 25   
  6b  19 22 22 21 27 19 26 22 20 24   27 22 24 20 28 23 25 17 24 20   25 27 22 26 30 27 24 29 24 23   28 27 26 21 23 22 16 16 16 16   
  7a  16 16 19 23 23 20 22 22 22 17   23 18 22 20 23 24 22 17 25 23   17 18 25 19 20 23 23 20 26 18   17 24 25 25 16 20 23 19 22 20   
  7b  20 23 22 25 23 20 24 23 21 21   27 26 27 23 20 20 24 22 23 21   28 21 21 23 21 24 19 23 31 23   19 22 29 20 19 24 16 16 16 16   
  8a  16 16 24 22 25 25 20 25 18 18   19 20 20 23 19 27 16 16 18 17   17 17 20 22 25 15 19 20 18 27   14 20 19 22 20 17 18 23 20 22   
  8b  21 25 20 21 27 22 23 25 24 22   21 22 24 20 21 24 24 20 23 26   23 24 25 19 22 18 28 23 21 25   27 30 27 26 28 20 16 16 16 16   
  9a  16 16 18 22 23 23 18 19 23 20   20 20 25 20 20 18 20 19 21 15   16 18 23 17 19 20 21 19 19 23   22 23 24 19 20 21 23 24 21 28   
  9b  24 20 15 23 21 24 19 24 26 20   23 25 22 20 17 21 23 21 25 25   21 22 27 27 25 26 24 26 28 22   24 28 26 23 31 27 16 16 16 16   
 10a  16 16 19 18 19 17 23 16 17 17   22 22 17 19 23 19 14 19 19 16   14 20 18 20 21 23 17 17 23 21   17 21 22 18 22 19 20 24 17 23   
 10b  23 23 28 22 25 21 27 28 22 25   20 29 25 23 21 22 26 30 23 19   28 22 21 24 23 24 27 20 21 17   24 26 25 21 25 24 16 16 16 16   
 11a  16 16 21 18 23 15 13 25 23 19   21 22 22 26 20 26 15 14 21 17   16 16 20 24 19 24 14 21 20 25   20 21 21 25 27 22 21 27 23 22   
 11b  21 25 23 18 21 21 24 19 24 23   28 25 29 17 24 27 22 24 19 23   25 26 25 29 31 25 25 29 17 24   28 24 23 25 26 21 16 16 16 16   
 12a  16 16 15 15 21 13 19 17 21 19   20 22 21 19 20 16 21 21 23 20   20 23 24 21 28 18 23 23 23 22   18 19 15 18 24 20 23 18 19 25   
